Spanish;Translation (British English);Semantic category;Domain;AoA;AoA_SD;Fam;Fam_SD;Man;Man_SD;Tip;Tip_SD;%_Total_36;LF_Log;LF_EsPal;LF_CREA;LF_Cuetos et al. (2012);Word_length;Syllabes;Subjects (n)
Tarso               ;Tarsus;Body Parts;Living Things;5.78;2.19;1.68;1.36;1.61;1.14;1.76;1.27;0.03;11.31;2.62;57;0;5;2;34
Tendón              ;Tendon;Body Parts;Living Things;5.27;1.27;3.32;1.10;2.35;1.56;2.84;1.26;0.06;12.74;2.61;286;1.51;6;2;38
Tibia               ;Tibia / Shinbone;Body Parts;Living Things;4.89;1.29;3.19;1.15;1.86;1.40;2.97;1.07;0.11;12.84;3.04;1313;1.46;5;2;38
Tobillo             ;Ankle;Body Parts;Living Things;3.19;1.36;4.59;0.70;1.89;1.46;4.18;1.02;0.03;13.11;3.1;861;2.27;7;3;38
Tórax               ;Thorax;Body Parts;Living Things;5.03;1.23;3.62;1.23;1.34;0.46;3.63;1.12;0.06;12.53;2.83;827;1.75;5;2;38
Tripa               ;Belly;Body Parts;Living Things;2.73;1.62;4.38;1.09;1.66;1.22;3.92;1.18;0.03;12.72;2.54;343;2.32;5;2;38
Tronco              ;Trunk;Body Parts;Living Things;3.53;1.17;4.05;1.12;1.65;1.06;3.82;1.12;0.06;13.58;3.59;2723;0.48;6;2;38
Uña                 ;Finger nail / Toenail;Body Parts;Living Things;1.99;0.86;4.71;0.42;3.69;1.33;3.76;1.34;0.33;14.47;2.71;493;2.85;3;2;38
Vagina              ;Vagina;Body Parts;Living Things;4.73;1.47;4.45;0.88;2.31;1.33;3.92;1.34;0.03;14.01;2.98;722;1.93;6;3;38
Vejiga              ;Bladder;Body Parts;Living Things;4.84;1.57;3.67;0.92;2.47;1.49;3.11;1.29;0.03;12.90;2.82;707;1;6;3;38
Vena                ;Vein;Body Parts;Living Things;3.74;1.31;3.86;1.12;1.34;0.53;3.28;1.52;0.06;13.51;3.08;804;2.13;4;2;38
Vértebra            ;Vertebra;Body Parts;Living Things;4.74;1.20;3.40;1.26;1.53;0.74;3.45;1.21;0.03;11.90;2.52;193;1.04;8;3;38
Vesícula biliar     ;Gallbladder;Body Parts;Living Things;6.51;0.76;2.51;1.18;1.33;1.05;2.43;1.21;0.03;11.72;0;182;0;14;6;38
Vientre             ;Stomach / Abdomen;Body Parts;Living Things;3.62;1.29;4.26;0.91;1.53;0.94;3.92;1.22;0.11;13.84;3.53;3386;1.15;7;2;38
Víscera             ;Entrails;Body Parts;Living Things;5.87;1.03;2.73;1.21;1.47;0.94;2.93;1.34;0.03;10.69;1.83;131;1.45;7;2;38
Alegrías            ;Busy Lizzie;Flowers;Living Things;5.24;2.37;1.84;1.29;1.58;1.15;2.08;1.37;0.03;10.35;3.12;646;1.78;8;4;35
Amapola             ;Poppy;Flowers;Living Things;3.31;1.23;4.11;0.85;2.94;1.47;4.44;0.79;0.28;12.10;2.54;149;1.18;7;4;38
Azalea              ;Azalea;Flowers;Living Things;5.26;2.60;2.42;1.61;1.94;1.61;2.35;1.51;0.06;12.14;1.69;17;1.18;6;4;34
Azucena             ;Madonna lily;Flowers;Living Things;4.62;2.10;2.51;1.42;2.11;1.52;3.04;1.52;0.17;12.13;2.57;33;0.78;7;4;36
Cala                ;Calla lily / Arum lily;Flowers;Living Things;4.91;3.08;1.67;1.66;1.82;1.71;1.67;1.62;0.08;14.64;2.99;221;1.43;4;2;30
Camelia             ;Camellia;Flowers;Living Things;5.72;1.86;2.26;1.20;1.83;1.17;2.80;1.17;0.03;11.79;1.97;41;0.85;7;3;37
Campanilla          ;Bell flowers;Flowers;Living Things;4.56;2.17;2.29;1.45;1.80;1.17;2.26;1.19;0.14;12.88;2.94;358;1.7;10;4;36
Cantueso            ;Wild thyme;Flowers;Living Things;3.56;3.36;0.92;1.27;0.82;1.25;0.95;1.13;0.03;10.24;1.98;34;0;8;3;19
Chiribita           ;Daisy;Flowers;Living Things;3.26;3.02;0.63;0.81;0.82;1.24;0.61;0.74;0.08;9.33;0;0;0;8;4;19
Clavel              ;Carnation;Flowers;Living Things;3.70;1.42;3.88;1.08;2.32;1.31;4.43;0.90;0.67;12.31;2.71;228;0.85;6;2;38
Clavelina           ;Little carnation   (Pink);Flowers;Living Things;6.04;1.53;2.01;1.21;1.76;1.20;2.53;1.40;0.06;9.35;1.04;3;1.08;9;4;37
Dalia               ;Dahlia;Flowers;Living Things;5.98;1.89;2.11;0.92;1.73;1.06;2.57;1.25;0.08;12.10;2.24;48;1.23;5;2;36
Dama de noche       ;Night Jasmine;Flowers;Living Things;5.66;2.53;1.91;1.37;1.62;0.89;1.97;1.53;0.06;14.00;0;7;0;4;5;34
Flor de lis         ;Fleur de Lis;Flowers;Living Things;6.07;1.24;2.31;1.07;1.78;0.92;2.89;1.17;0.03;11.78;0;24;0;9;3;38
Flor de pascua      ;Poinsettia;Flowers;Living Things;5.46;2.07;2.53;1.43;1.88;1.33;2.90;1.36;0.03;11.72;0;2;0;12;4;36
Geranio             ;Geranium;Flowers;Living Things;3.89;1.43;3.83;1.03;2.86;1.47;4.22;0.90;0.19;11.50;1.69;57;0.95;7;3;38
Gladiolo            ;Gladiolus;Flowers;Living Things;5.72;1.83;2.65;1.45;1.65;1.09;2.82;1.47;0.08;10.09;1.61;8;0;8;3;36
Hortensia           ;Hydrangea;Flowers;Living Things;5.22;1.73;2.94;1.30;2.08;1.55;3.19;1.21;0.06;11.57;2.81;20;1.23;9;3;37
Jazmín              ;Jasmine;Flowers;Living Things;4.65;1.49;3.20;1.31;2.18;1.19;3.83;0.86;0.08;13.40;2.54;146;1.63;6;2;38
Lila                ;Lilac;Flowers;Living Things;4.47;1.59;3.07;1.40;2.02;1.28;3.74;1.28;0.08;13.75;2.77;225;2.45;4;2;38
Lirio               ;Iris;Flowers;Living Things;5.09;1.22;2.65;1.13;1.81;1.07;3.77;1.11;0.14;11.72;2.66;183;1.45;5;2;38
Malva               ;Mallow;Flowers;Living Things;5.29;1.68;2.07;1.09;1.61;1.03;2.66;1.31;0.03;12.26;2.78;246;1.2;5;2;37
Manzanilla          ;Chamomile;Flowers;Living Things;4.52;1.55;3.51;1.21;2.17;1.23;2.66;0.99;0.11;13.35;2.59;241;1.61;10;4;38
Margarita           ;Daisy;Flowers;Living Things;2.88;1.07;4.14;0.97;2.20;1.26;5.00;0.00;0.44;14.72;3.84;159;2.24;9;4;38
Nardo               ;Nard / Spikenard;Flowers;Living Things;5.07;2.59;2.28;1.53;1.47;1.23;2.74;1.71;0.08;11.03;2.1;47;0;5;2;33
Orquídea            ;Orchid;Flowers;Living Things;5.26;1.27;3.51;1.28;2.00;1.28;3.81;1.12;0.06;12.72;2.49;107;1.85;8;3;38
Pendientes de la reina;Hummingbird fuchsia / Hardy fuchsia;Flowers;Living Things;4.45;3.44;1.21;1.38;1.08;1.13;1.29;1.17;0.03;12.55;0;0;0;20;7;24
Pensamiento         ;Pansy;Flowers;Living Things;5.26;2.23;2.86;1.68;2.37;1.74;2.78;1.50;0.11;14.74;4.39;12913;2.97;11;4;36
Peonia              ;Peony;Flowers;Living Things;4.17;3.36;1.26;1.19;1.51;1.78;1.37;1.41;0.03;10.65;1.63;1;0;6;3;24
Petunia             ;Petunia;Flowers;Living Things;5.50;1.72;2.62;1.04;1.80;1.35;3.22;1.33;0.11;11.13;1.96;6;0.85;7;3;38
Rosa                ;Rose;Flowers;Living Things;2.26;0.98;4.52;0.89;2.54;1.48;4.91;0.00;0.78;16.01;4.27;3407;1.89;4;2;38
Sauquera            ;Elder;Flowers;Living Things;3.17;3.14;0.61;0.74;0.87;1.42;0.55;0.69;0.03;11.74;0;0;0;8;3;18
Tulipán             ;Tulip;Flowers;Living Things;4.01;1.29;3.58;1.15;2.05;1.33;4.07;0.79;0.03;11.86;2.6;33;1.75;7;3;38
Violeta             ;Violet;Flowers;Living Things;4.22;1.23;3.25;1.06;1.81;1.07;3.50;1.09;0.11;13.95;3.44;816;1.52;7;3;38
Abridero            ;(Type of) Peach;Fruits;Living Things;2.68;2.52;0.55;0.79;1.18;1.29;0.47;0.66;0.14;6.03;0.7;0;0;8;4;15
Aguacate            ;Avocado;Fruits;Living Things;5.24;1.51;3.10;1.40;2.88;1.78;3.06;1.18;0.08;13.60;2.54;401;1.54;8;4;38
Albaricoque         ;Apricot;Fruits;Living Things;3.82;1.55;3.69;1.17;2.69;1.47;4.09;0.98;0.22;11.86;1.99;100;1.2;11;5;38
Albérchigo          ;Clingstone peach;Fruits;Living Things;2.40;3.16;0.69;1.29;0.96;1.40;0.50;1.00;0.08;8.70;0;6;0;10;4;18
Almendra            ;Almond;Fruits;Living Things;3.22;1.13;3.76;1.04;2.96;1.20;2.61;1.29;0.08;13.33;2.77;300;1.41;8;3;38
Avellana            ;Hazelnut;Fruits;Living Things;3.53;1.10;3.58;1.03;3.43;1.37;2.42;0.99;0.03;11.83;2.36;109;1.36;8;4;38
Breva               ;Early fig;Fruits;Living Things;4.47;1.86;3.16;1.32;2.83;1.46;2.92;1.33;0.08;10.95;1.99;73;0;5;2;36
Cacahuete           ;Peanut;Fruits;Living Things;3.10;0.81;3.74;1.25;3.81;1.38;2.64;1.26;0.06;11.34;2.23;72;1.73;9;4;38
Castaña             ;Chestnut;Fruits;Living Things;3.68;1.21;3.33;1.14;3.30;1.22;2.29;1.07;0.08;10.57;2.4;146;1.38;7;3;38
Cereza              ;Cherry;Fruits;Living Things;2.93;1.37;4.11;0.97;3.30;1.62;4.32;1.08;0.39;12.51;2.64;184;2.31;6;3;38
Ciruela             ;Plum;Fruits;Living Things;3.54;1.37;3.76;1.17;3.39;1.62;4.13;1.06;0.44;12.34;2.26;168;1.83;7;3;38
Coco                ;Coconut;Fruits;Living Things;3.39;1.33;3.32;1.32;3.29;1.26;3.43;1.26;0.03;14.67;3.29;929;2.62;4;2;38
Fresa               ;Strawberry;Fruits;Living Things;2.48;0.91;4.65;0.68;3.40;1.31;4.64;0.65;0.36;14.15;2.79;354;2.17;5;2;38
Fresquilla          ;Peach;Fruits;Living Things;4.53;2.99;2.15;1.56;2.32;1.66;1.83;1.32;0.03;7.66;0;1;0;10;3;29
Granada             ;Pomegranate;Fruits;Living Things;4.47;1.37;3.09;1.28;3.10;1.24;2.82;1.15;0.06;16.86;4.14;476;2.5;7;3;38
Guinda              ;Cherry;Fruits;Living Things;4.24;1.33;3.04;1.07;2.80;1.43;2.94;1.39;0.19;11.94;2.4;259;1.23;6;2;38
Higo                ;Fig;Fruits;Living Things;3.74;1.52;3.21;1.12;2.61;1.55;3.38;1.13;0.17;11.95;2.31;212;1.38;4;2;38
Kiwi                ;Kiwi;Fruits;Living Things;4.37;1.78;4.27;1.04;3.60;1.28;4.10;1.03;0.22;13.54;2.16;76;1.72;4;2;38
Lima;Lima;Fruits;Living Things;5.84;1.67;2.46;1.30;3.03;1.29;2.59;1.21;0.03;11.57;4.18;197;2.28;4;2;38
Limón               ;Lemon;Fruits;Living Things;2.36;1.14;4.46;1.07;3.72;1.35;4.34;0.94;0.08;14.50;3.33;3442;2.57;5;2;38
Mandarina           ;Tangerine;Fruits;Living Things;2.86;1.27;4.39;0.53;3.96;0.73;4.59;0.55;0.36;12.71;2.14;203;1.58;9;4;38
Mango               ;Mango;Fruits;Living Things;5.47;1.57;3.32;1.21;3.09;1.14;3.45;0.96;0.06;14.48;3.19;928;2.34;5;2;38
Manzana             ;Apple;Fruits;Living Things;2.02;1.04;4.76;0.45;3.89;1.04;4.96;0.00;0.94;14.48;3.4;2094;2.9;7;3;38
Melocotón           ;Peach;Fruits;Living Things;2.85;1.00;4.55;0.64;3.81;1.19;4.55;0.79;0.50;13.27;2.47;246;2;9;4;38
Melón               ;Melon;Fruits;Living Things;2.70;0.76;4.49;0.69;3.68;1.14;4.41;0.64;0.33;13.75;2.7;473;2.11;5;2;38
Mora                ;Blackberry;Fruits;Living Things;3.51;1.42;3.80;1.33;3.34;1.31;3.73;1.14;0.06;14.98;3.71;513;1.63;4;2;38
Naranja             ;Orange;Fruits;Living Things;2.12;0.87;4.76;0.45;4.02;1.13;4.92;0.31;0.75;14.80;3.66;2613;2.89;7;3;38
Nuez                ;Walnut;Fruits;Living Things;2.98;0.79;3.97;0.92;3.66;1.30;2.86;1.29;0.14;13.43;2.96;1068;1.57;4;1;38
Papaya              ;Papaya;Fruits;Living Things;5.70;1.56;2.53;1.23;2.51;1.57;2.47;1.17;0.06;13.52;2.37;267;1.04;6;3;37
Paraguaya           ;Saturn peach;Fruits;Living Things;5.10;2.05;2.53;1.45;2.26;1.52;2.64;1.32;0.03;12.62;2.96;499;0.95;9;4;36
Pasa                ;Raisin;Fruits;Living Things;4.33;1.20;3.27;1.14;2.49;1.40;2.80;1.23;0.03;15.96;4.5;26226;3.06;4;2;38
Pera                ;Pear;Fruits;Living Things;2.11;0.64;4.74;0.39;3.60;1.33;4.80;0.50;0.89;14.72;3.04;448;1.28;4;2;38
Picota              ;Cherry;Fruits;Living Things;4.06;2.36;3.02;1.83;2.92;1.72;2.90;1.73;0.03;11.18;2.69;186;0;6;3;32
Piña                ;Pineapple;Fruits;Living Things;3.12;1.22;4.23;1.04;3.16;1.25;4.39;0.85;0.06;13.34;2.88;740;1.59;4;2;38
Piñón               ;Pine nut;Fruits;Living Things;3.69;1.42;3.32;1.23;2.68;1.56;2.46;1.19;0.03;14.84;2.4;149;1.08;5;2;38
Pistacho            ;Pistachio;Fruits;Living Things;4.07;1.35;4.00;1.05;3.62;1.31;2.66;1.22;0.03;12.06;1.84;22;1.2;8;3;38
Plátano     ;Banana;Fruits;Living Things;2.18;0.80;4.67;0.42;3.90;0.83;4.82;0.48;0.44;10.48;3.27;847;2.11;7;3;38
Pomelo              ;Grapefruit;Fruits;Living Things;4.89;1.49;3.03;1.41;3.01;1.43;3.41;1.20;0.14;12.19;1.96;166;0.78;6;3;38
Sandía              ;Watermelon;Fruits;Living Things;2.60;0.96;4.40;0.84;3.55;1.43;4.59;0.79;0.28;11.34;2.56;254;1.57;6;3;38
Tomate         ;Tomato;Fruits;Living Things;2.35;0.82;4.51;1.07;3.51;1.21;3.27;1.48;0.03;11.40;3.33;2867;2.62;6;3;38
Uva                 ;Grape;Fruits;Living Things;2.53;0.92;4.06;1.15;3.43;1.52;4.38;0.69;0.50;14.32;3.28;1092;2.21;3;2;38
Abeja               ;Bee;Insects;Living Things;2.68;1.29;4.08;1.18;2.78;1.73;4.56;0.79;0.39;13.59;3.23;303;2.49;5;3;38
Abejorro            ;Bumblebee;Insects;Living Things;3.63;1.41;3.05;1.33;1.15;0.36;3.96;0.94;0.08;10.37;1.86;35;1.41;8;4;38
Ácaro               ;Mite;Insects;Living Things;5.98;1.53;2.48;1.23;1.37;0.92;2.33;1.40;0.03;14.39;1.99;38;0;5;3;38
Araña               ;Spider;Insects;Living Things;2.39;0.81;3.89;1.10;1.53;0.85;4.61;0.66;0.17;14.47;3.57;918;2.8;5;3;38
Avispa              ;Wasp;Insects;Living Things;2.53;0.84;4.02;0.96;1.41;0.79;4.53;0.58;0.42;11.54;2.52;123;1.72;6;3;38
Avispón             ;Hornet;Insects;Living Things;4.31;1.75;2.98;1.32;2.01;1.48;3.67;1.17;0.03;10.93;1.54;3;1.23;7;3;38
Chinche             ;Bedbug;Insects;Living Things;4.62;1.40;2.15;1.06;1.26;0.53;3.09;1.31;0.14;11.08;2.13;71;1.11;7;2;38
Ciempiés            ;Centipede;Insects;Living Things;3.42;1.40;3.28;1.42;1.24;0.61;3.87;1.05;0.03;11.07;1.96;62;1.23;8;2;38
Cínife              ;Gadfly;Insects;Living Things;3.29;3.07;0.59;0.70;1.35;0.57;0.70;0.97;0.03;7.06;1.49;2;0;6;3;21
Cucaracha           ;Cockroach;Insects;Living Things;3.29;1.29;3.27;1.48;1.41;0.92;4.57;0.63;0.17;11.60;3.1;169;2.24;9;4;38
Escarabajo          ;Beetle;Insects;Living Things;3.00;0.98;3.64;1.29;1.54;1.06;4.27;0.63;0.14;13.05;3.32;265;1.92;10;5;38
Garrapata           ;Tick;Insects;Living Things;4.17;1.41;2.87;1.39;1.79;1.34;3.09;1.16;0.08;11.00;2.07;44;1.67;9;4;38
Grillo              ;Cricket;Insects;Living Things;2.93;0.83;3.32;1.32;1.26;0.62;3.91;0.90;0.06;12.38;2.63;105;2.09;6;2;38
Gusano              ;Worm;Insects;Living Things;2.73;1.05;3.58;1.04;1.59;0.94;3.66;1.10;0.03;13.34;3.24;487;2.62;6;3;38
Hormiga             ;Ant;Insects;Living Things;2.11;1.00;4.33;0.92;1.67;1.13;4.66;0.53;0.25;12.84;3.56;348;2.05;7;3;38
Ladilla             ;Crab louse;Insects;Living Things;6.43;0.86;2.07;0.81;1.16;0.51;2.36;1.26;0.03;10.64;1.65;28;1.11;7;3;38
Libélula            ;Dragon-fly;Insects;Living Things;4.51;1.31;2.70;1.42;1.26;0.68;3.65;1.06;0.08;11.47;2.04;55;1.67;8;4;38
Luciérnaga          ;Firefly;Insects;Living Things;4.15;1.54;2.76;1.15;1.71;1.20;3.46;0.96;0.03;11.30;3.02;54;1.4;10;4;38
Mantis              ;Praying Mantis;Insects;Living Things;4.85;1.99;2.03;1.28;1.24;0.66;2.81;1.40;0.03;12.03;2.43;22;1.69;7;2;35
Mariposa            ;Butterfly;Insects;Living Things;2.52;1.07;4.21;1.01;1.30;0.64;4.44;0.83;0.28;14.27;3.58;807;2.45;8;4;38
Mariquita           ;Ladybird;Insects;Living Things;2.53;1.26;3.65;1.22;2.36;1.62;3.99;1.21;0.03;12.51;2.59;88;2.31;9;4;38
Mosca               ;Fly;Insects;Living Things;2.32;0.86;4.54;0.75;1.76;1.10;4.88;0.31;0.69;13.79;3.42;996;2.5;5;2;38
Moscardón           ;Botfly;Insects;Living Things;3.59;1.49;3.28;0.94;1.33;0.74;3.89;1.17;0.11;10.89;1.97;55;0.48;9;3;38
Moscón              ;Bluebottle;Insects;Living Things;3.65;1.42;3.29;1.07;2.03;1.29;3.51;1.14;0.14;10.32;2.89;18;0.6;6;2;38
Mosquito            ;Mosquito;Insects;Living Things;2.64;1.19;4.89;0.36;1.71;1.29;4.83;0.31;0.64;12.93;3.25;319;1.91;8;3;38
Piojo               ;Louse;Insects;Living Things;3.24;1.10;2.98;1.53;1.91;1.31;3.16;1.40;0.22;11.41;2.47;117;2.09;5;2;38
Polilla             ;Moth;Insects;Living Things;4.56;1.53;3.11;1.20;2.12;1.46;3.42;1.26;0.03;11.24;2.65;102;1.6;7;3;38
Pulga               ;Flea;Insects;Living Things;3.76;1.38;2.60;1.35;1.60;1.00;3.82;1.24;0.28;11.81;2.76;123;2.11;5;2;38
Pulgón              ;Plant louse;Insects;Living Things;5.16;1.77;2.60;1.32;1.72;1.21;2.90;1.41;0.03;15.35;1.32;25;0;6;2;36
Saltamontes         ;Grasshopper;Insects;Living Things;3.02;1.10;3.55;1.26;1.63;0.90;4.15;0.64;0.03;11.71;2.32;78;1.99;11;4;38
Tábano              ;Gadfly;Insects;Living Things;4.61;2.28;2.34;1.44;1.21;0.98;2.68;1.62;0.08;10.09;2.4;51;0;6;3;35
Tarántula           ;Tarantula;Insects;Living Things;4.68;1.17;2.72;1.51;1.26;0.85;3.50;1.26;0.03;11.39;2.15;52;0.7;9;4;38
Abedul              ;Birch;Trees;Living Things;4.80;1.73;2.90;1.37;2.24;1.54;3.47;1.20;0.06;12.07;2.45;137;1.18;6;3;37
Abeto               ;Fir;Trees;Living Things;4.13;1.73;3.58;1.31;1.58;1.00;4.17;0.74;0.11;12.00;2.5;124;1.4;5;3;38
Acacia              ;Acacia;Trees;Living Things;5.62;1.82;2.46;1.21;1.37;0.93;2.88;1.24;0.08;12.11;2.58;105;0.85;6;3;37
Álamo               ;Poplar;Trees;Living Things;5.20;1.48;3.25;1.19;1.48;0.93;3.80;1.07;0.08;11.22;2.9;100;1.32;5;3;38
Albaricoquero       ;Apricot tree;Trees;Living Things;4.55;1.64;2.80;1.48;2.18;1.26;3.11;1.33;0.06;10.34;1.08;8;0;13;6;37
Alcornoque          ;Cork oak;Trees;Living Things;4.74;1.35;2.95;1.20;2.17;1.44;3.60;1.24;0.08;11.02;2.16;119;1.38;10;4;38
Algarrobo           ;Carob tree;Trees;Living Things;5.58;2.68;1.87;1.49;1.42;1.23;2.21;1.54;0.03;12.58;2.69;158;1.41;9;4;33
Almendro            ;Almond tree;Trees;Living Things;3.66;1.39;3.85;1.00;2.22;1.30;4.27;0.75;0.08;12.37;2.63;94;0;8;3;38
Avellano            ;Hazel tree;Trees;Living Things;4.50;1.40;2.76;1.24;1.94;1.24;3.48;1.00;0.11;11.09;2.2;66;0.6;8;4;38
Boj                 ;Box tree;Trees;Living Things;4.47;3.32;1.29;1.35;1.37;1.49;1.24;1.04;0.03;12.56;2.4;118;0;3;1;27
Caoba               ;Mahogany tree;Trees;Living Things;5.61;1.85;2.18;1.15;1.96;1.36;2.47;1.29;0.03;11.84;2.71;398;1.63;5;3;36
Castaño             ;Chestnut tree;Trees;Living Things;4.19;1.60;3.42;1.32;2.00;1.28;3.86;1.14;0.19;13.97;3.31;591;2.2;7;3;38
Cerezo              ;Cherry tree;Trees;Living Things;4.22;1.16;3.35;1.26;1.89;1.21;3.80;0.99;0.39;13.62;3.02;88;1.64;6;3;38
Chopo               ;Poplar;Trees;Living Things;4.87;1.83;3.30;1.57;1.24;0.60;3.44;1.49;0.39;11.86;2.38;91;0;5;2;36
Ciprés              ;Cypress;Trees;Living Things;4.79;1.33;3.08;1.21;1.53;1.15;3.97;1.13;0.06;12.20;2.64;148;1.08;6;2;38
Ciruelo             ;Plum tree;Trees;Living Things;4.26;1.44;2.98;1.29;2.15;1.32;3.74;1.10;0.56;11.36;2.19;75;0;7;3;38
Encina              ;Holm Oak;Trees;Living Things;4.39;1.72;3.28;1.43;1.79;1.17;3.79;1.25;0.25;13.43;3.16;312;0;6;3;37
Enebro              ;Juniper;Trees;Living Things;6.21;1.60;2.19;0.85;1.39;0.93;2.47;1.37;0.03;11.56;2.37;132;0;6;3;37
Espino              ;Hawthorn;Trees;Living Things;5.58;1.62;2.10;0.93;1.24;0.86;2.23;1.15;0.03;13.81;2.89;150;0.7;6;3;37
Eucalipto           ;Gum tree;Trees;Living Things;4.67;1.20;3.55;1.19;1.45;0.93;3.61;1.26;0.06;12.39;2.45;217;1.38;9;4;38
Fresno              ;Ash tree;Trees;Living Things;5.17;2.01;2.22;1.39;1.60;1.26;2.83;1.41;0.03;13.92;2.99;96;1.93;6;2;36
Guindo              ;Mazzard cherry tree;Trees;Living Things;5.86;1.79;2.32;1.09;1.35;0.97;2.55;1.17;0.08;11.39;1.86;32;0;6;2;37
Higuera             ;Fig tree;Trees;Living Things;3.78;1.63;3.63;1.40;2.00;1.12;3.72;1.11;0.17;13.35;2.9;220;0.95;7;3;38
Laurel              ;Bay tree;Trees;Living Things;4.55;1.23;3.47;1.23;2.24;1.17;2.89;1.26;0.03;13.65;3.22;1036;2.09;6;2;38
Limonero            ;Lemon tree;Trees;Living Things;3.49;1.20;3.53;1.29;2.97;1.70;4.01;1.00;0.14;11.62;2.08;85;1.34;8;4;38
Majuelo             ;Common hawthorn;Trees;Living Things;3.33;3.46;0.73;0.87;0.65;0.80;0.68;0.94;0.03;8.17;1.83;23;0;7;3;22
Mandarino           ;Tangerine tree;Trees;Living Things;4.90;2.02;2.05;1.32;1.96;1.16;2.28;1.32;0.03;10.44;1.15;8;0;9;4;37
Manzano             ;Apple tree;Trees;Living Things;3.40;1.35;3.76;1.10;3.08;1.64;4.45;0.88;0.53;13.47;3.18;176;1.28;7;3;38
Melocotonero        ;Peach tree;Trees;Living Things;4.35;1.40;3.00;1.09;2.32;1.31;3.63;1.14;0.14;10.73;1.61;21;0;12;6;38
Membrillo           ;Quince tree;Trees;Living Things;4.95;1.41;2.85;1.38;2.23;1.54;2.68;1.44;0.06;12.45;2.39;287;0.6;9;3;38
Mimosa              ;Silver wattle;Trees;Living Things;5.22;2.50;1.91;1.25;1.39;1.35;2.04;1.33;0.03;13.20;2.16;72;1.43;6;3;33
Moral               ;Black mulberry;Trees;Living Things;5.03;1.99;2.22;1.34;1.67;1.19;2.08;0.98;0.11;14.55;4.32;12560;2.9;5;2;35
Morera              ;Mulberry tree;Trees;Living Things;4.09;2.01;2.72;1.70;1.97;1.36;2.52;1.64;0.03;12.43;2.49;40;0;6;3;38
Naranjo             ;Orange tree;Trees;Living Things;3.49;1.20;3.84;1.13;2.53;1.23;4.28;0.82;0.22;14.28;2.98;191;1.34;7;3;38
Negrillo            ;Elm tree;Trees;Living Things;4.89;3.41;0.87;0.72;1.15;0.50;1.11;1.30;0.06;10.34;1.56;14;0;8;3;29
Níspero             ;Medlar tree;Trees;Living Things;5.20;1.67;2.88;1.29;2.18;1.31;2.88;1.25;0.08;11.38;1.65;41;0;7;3;38
Nogal               ;Walnut (tree);Trees;Living Things;4.76;1.45;2.98;1.35;1.62;1.10;3.95;0.98;0.17;13.47;2.7;260;1.4;5;2;38
Olivo               ;Olive tree;Trees;Living Things;3.86;1.52;4.19;0.94;2.46;1.42;4.41;0.77;0.06;13.92;3.18;509;1.26;5;3;38
Olmo                ;Elm tree;Trees;Living Things;4.61;1.19;2.62;1.17;1.41;0.79;3.61;1.12;0.14;13.57;3.08;145;1.32;4;2;38
Palmera             ;Palm tree;Trees;Living Things;3.52;1.24;3.91;0.95;1.62;1.05;3.87;0.98;0.06;13.95;2.97;332;1.04;7;3;38
Peral               ;Pear tree;Trees;Living Things;3.62;1.32;3.50;1.47;2.41;1.20;3.96;1.15;0.47;13.14;2.79;60;1.68;5;2;37
Pino                ;Pine tree;Trees;Living Things;2.96;1.39;4.38;1.01;1.75;1.16;4.82;0.52;0.42;14.72;3.62;1116;1.46;4;2;38
Platanero           ;Banana tree;Trees;Living Things;4.64;1.75;2.90;1.62;2.29;1.29;3.17;1.21;0.08;10.51;1.34;6;2.11;9;4;37
Plátano     ;Plane tree;Trees;Living Things;2.78;1.32;3.83;1.08;2.97;1.56;3.26;1.52;0.03;13.76;3.27;847;2.11;7;3;38
Roble               ;Oak;Trees;Living Things;4.47;1.37;3.58;1.23;1.58;1.20;4.43;0.64;0.33;14.14;3.3;659;0.48;5;2;38
Sabuco              ;Elder;Trees;Living Things;4.62;3.30;1.13;1.23;1.05;1.22;1.34;1.31;0.03;10.61;1.64;0;0;6;3;26
Sapeli              ;Sapele Tree;Trees;Living Things;4.08;3.43;1.01;1.17;0.82;1.04;1.00;1.21;0.03;10.12;0;0;0;6;3;22
Sauce               ;Willow;Trees;Living Things;4.69;1.38;3.56;1.08;1.37;0.80;4.14;0.99;0.08;14.48;3.3;183;1.11;5;2;38
Acelga              ;Chard;Vegetables;Living Things;3.84;1.38;3.96;1.12;3.49;1.62;4.33;0.83;0.36;11.57;1.81;146;0.6;6;3;38
Ajo                 ;Garlic;Vegetables;Living Things;3.24;1.48;4.64;0.52;4.30;0.84;3.26;1.27;0.11;14.30;3.2;3546;2.43;3;2;38
Alcachofa           ;Artichoke;Vegetables;Living Things;4.26;1.39;3.64;1.31;3.04;1.33;3.97;0.92;0.14;13.12;2;126;1.57;9;4;38
Alubia verde        ;Green bean;Vegetables;Living Things;4.05;1.59;3.56;1.37;3.35;1.25;3.66;1.37;0.11;11.50;0;1;0;12;5;38
Apio                ;Celery;Vegetables;Living Things;5.19;1.48;3.23;1.29;3.06;1.09;3.13;0.95;0.08;13.09;2.53;680;1.77;4;2;38
Batata              ;Sweet potato;Vegetables;Living Things;5.67;2.17;2.12;0.98;2.94;1.55;2.05;1.15;0.03;11.53;2.29;147;1.28;6;3;36
